iteration,hour,time_str,total_occupied,utilization_percent,mc_occupied,car_occupied,truck_occupied,mc_utilization,car_utilization,truck_utilization,is_full
16,17.166666666666668,17:10,95,41.125541125541126,62,28,5,44.285714285714285,34.5679012345679,50.0,False
16,17.333333333333332,17:19,78,33.76623376623377,50,23,5,35.714285714285715,28.39506172839506,50.0,False
16,17.5,17:30,66,28.57142857142857,44,17,5,31.428571428571427,20.98765432098765,50.0,False
16,17.666666666666668,17:40,52,22.51082251082251,34,14,4,24.285714285714285,17.28395061728395,40.0,False
16,17.833333333333332,17:49,41,17.74891774891775,24,13,4,17.142857142857142,16.049382716049383,40.0,False
16,18.0,18:00,30,12.987012987012985,19,9,2,13.571428571428571,11.11111111111111,20.0,False
16,18.166666666666668,18:10,25,10.822510822510822,17,7,1,12.142857142857142,8.641975308641975,10.0,False
16,18.333333333333332,18:19,8,3.463203463203463,5,2,1,3.571428571428571,2.4691358024691357,10.0,False
16,18.5,18:30,0,0.0,0,0,0,0.0,0.0,0.0,False
16,18.666666666666668,18:40,0,0.0,0,0,0,0.0,0.0,0.0,False
16,18.833333333333332,18:49,0,0.0,0,0,0,0.0,0.0,0.0,False
17,6.0,06:00,0,0.0,0,0,0,0.0,0.0,0.0,False
17,6.166666666666667,06:10,2,0.8658008658008658,1,1,0,0.7142857142857143,1.2345679012345678,0.0,False
17,6.333333333333333,06:19,3,1.2987012987012987,2,1,0,1.4285714285714286,1.2345679012345678,0.0,False
17,6.5,06:30,5,2.1645021645021645,3,2,0,2.142857142857143,2.4691358024691357,0.0,False
17,6.666666666666667,06:40,6,2.5974025974025974,4,2,0,2.857142857142857,2.4691358024691357,0.0,False
17,6.833333333333333,06:49,8,3.463203463203463,5,3,0,3.571428571428571,3.7037037037037033,0.0,False
17,7.0,07:00,10,4.329004329004329,7,3,0,5.0,3.7037037037037033,0.0,False
17,7.166666666666667,07:10,46,19.913419913419915,29,15,2,20.714285714285715,18.51851851851852,20.0,False
17,7.333333333333333,07:19,61,26.406926406926406,42,17,2,30.0,20.98765432098765,20.0,False
17,7.5,07:30,86,37.22943722943723,61,21,4,43.57142857142857,25.925925925925924,40.0,False
17,7.666666666666667,07:40,111,48.05194805194805,79,28,4,56.42857142857143,34.5679012345679,40.0,False
17,7.833333333333333,07:49,138,59.74025974025974,100,33,5,71.42857142857143,40.74074074074074,50.0,False
17,8.0,08:00,154,66.66666666666666,112,37,5,80.0,45.67901234567901,50.0,False
17,8.166666666666666,08:09,194,83.98268398268398,140,48,6,100.0,59.25925925925925,60.0,True
17,8.333333333333334,08:20,199,86.14718614718615,140,53,6,100.0,65.4320987654321,60.0,True
17,8.5,08:30,201,87.01298701298701,140,55,6,100.0,67.90123456790124,60.0,True
17,8.666666666666666,08:39,208,90.04329004329004,140,61,7,100.0,75.30864197530865,70.0,True
17,8.833333333333334,08:50,215,93.07359307359307,140,67,8,100.0,82.71604938271605,80.0,True
17,9.0,09:00,222,96.1038961038961,140,72,10,100.0,88.88888888888889,100.0,True
17,9.166666666666666,09:09,223,96.53679653679653,140,73,10,100.0,90.12345679012346,100.0,True
17,9.333333333333334,09:20,224,96.96969696969697,140,74,10,100.0,91.35802469135803,100.0,True
17,9.5,09:30,225,97.40259740259741,140,75,10,100.0,92.5925925925926,100.0,True
17,9.666666666666666,09:39,225,97.40259740259741,140,75,10,100.0,92.5925925925926,100.0,True
17,9.833333333333334,09:50,225,97.40259740259741,140,75,10,100.0,92.5925925925926,100.0,True
17,10.0,10:00,226,97.83549783549783,140,76,10,100.0,93.82716049382715,100.0,True
17,10.166666666666666,10:09,226,97.83549783549783,140,76,10,100.0,93.82716049382715,100.0,True
17,10.333333333333334,10:20,226,97.83549783549783,140,76,10,100.0,93.82716049382715,100.0,True
17,10.5,10:30,227,98.26839826839827,140,77,10,100.0,95.06172839506173,100.0,True
17,10.666666666666666,10:39,228,98.7012987012987,140,78,10,100.0,96.29629629629629,100.0,True
17,10.833333333333334,10:50,230,99.56709956709958,140,80,10,100.0,98.76543209876543,100.0,True
17,11.0,11:00,231,100.0,140,81,10,100.0,100.0,100.0,True
17,11.166666666666666,11:09,231,100.0,140,81,10,100.0,100.0,100.0,True
17,11.333333333333334,11:20,231,100.0,140,81,10,100.0,100.0,100.0,True
17,11.5,11:30,231,100.0,140,81,10,100.0,100.0,100.0,True
17,11.666666666666666,11:39,231,100.0,140,81,10,100.0,100.0,100.0,True
17,11.833333333333334,11:50,231,100.0,140,81,10,100.0,100.0,100.0,True
17,12.0,12:00,231,100.0,140,81,10,100.0,100.0,100.0,True
17,12.166666666666666,12:09,231,100.0,140,81,10,100.0,100.0,100.0,True
17,12.333333333333334,12:20,231,100.0,140,81,10,100.0,100.0,100.0,True
17,12.5,12:30,231,100.0,140,81,10,100.0,100.0,100.0,True
17,12.666666666666666,12:39,231,100.0,140,81,10,100.0,100.0,100.0,True
17,12.833333333333334,12:50,231,100.0,140,81,10,100.0,100.0,100.0,True
17,13.0,13:00,231,100.0,140,81,10,100.0,100.0,100.0,True
17,13.166666666666666,13:09,231,100.0,140,81,10,100.0,100.0,100.0,True
17,13.333333333333334,13:20,231,100.0,140,81,10,100.0,100.0,100.0,True
17,13.5,13:30,231,100.0,140,81,10,100.0,100.0,100.0,True
17,13.666666666666666,13:39,231,100.0,140,81,10,100.0,100.0,100.0,True
17,13.833333333333334,13:50,231,100.0,140,81,10,100.0,100.0,100.0,True
17,14.0,14:00,231,100.0,140,81,10,100.0,100.0,100.0,True
17,14.166666666666666,14:09,231,100.0,140,81,10,100.0,100.0,100.0,True
17,14.333333333333334,14:20,231,100.0,140,81,10,100.0,100.0,100.0,True
17,14.5,14:30,231,100.0,140,81,10,100.0,100.0,100.0,True
17,14.666666666666666,14:39,231,100.0,140,81,10,100.0,100.0,100.0,True
17,14.833333333333334,14:50,231,100.0,140,81,10,100.0,100.0,100.0,True
17,15.0,15:00,231,100.0,140,81,10,100.0,100.0,100.0,True
17,15.166666666666666,15:09,221,95.67099567099568,135,77,9,96.42857142857143,95.06172839506173,90.0,False
17,15.333333333333334,15:20,210,90.9090909090909,129,72,9,92.14285714285714,88.88888888888889,90.0,False
17,15.5,15:30,200,86.58008658008657,124,67,9,88.57142857142857,82.71604938271605,90.0,False
17,15.666666666666666,15:39,188,81.38528138528139,115,64,9,82.14285714285714,79.01234567901234,90.0,False
17,15.833333333333334,15:50,178,77.05627705627705,107,63,8,76.42857142857142,77.77777777777779,80.0,False
17,16.0,16:00,162,70.12987012987013,98,58,6,70.0,71.60493827160494,60.0,False
17,16.166666666666668,16:10,152,65.80086580086581,93,54,5,66.42857142857143,66.66666666666666,50.0,False
17,16.333333333333332,16:19,142,61.471861471861466,85,52,5,60.71428571428571,64.19753086419753,50.0,False
17,16.5,16:30,132,57.14285714285714,81,47,4,57.85714285714286,58.0246913580247,40.0,False
17,16.666666666666668,16:40,120,51.94805194805194,72,45,3,51.42857142857142,55.55555555555556,30.0,False
17,16.833333333333332,16:49,110,47.61904761904761,69,38,3,49.28571428571429,46.913580246913575,30.0,False
17,17.0,17:00,99,42.857142857142854,59,37,3,42.142857142857146,45.67901234567901,30.0,False
17,17.166666666666668,17:10,90,38.961038961038966,53,34,3,37.857142857142854,41.9753086419753,30.0,False
17,17.333333333333332,17:19,74,32.03463203463203,42,29,3,30.0,35.80246913580247,30.0,False
17,17.5,17:30,70,30.303030303030305,39,28,3,27.857142857142858,34.5679012345679,30.0,False
17,17.666666666666668,17:40,62,26.83982683982684,35,25,2,25.0,30.864197530864196,20.0,False
17,17.833333333333332,17:49,46,19.913419913419915,26,18,2,18.571428571428573,22.22222222222222,20.0,False
17,18.0,18:00,35,15.151515151515152,20,13,2,14.285714285714285,16.049382716049383,20.0,False
17,18.166666666666668,18:10,22,9.523809523809524,13,8,1,9.285714285714286,9.876543209876543,10.0,False
17,18.333333333333332,18:19,12,5.194805194805195,6,5,1,4.285714285714286,6.172839506172839,10.0,False
17,18.5,18:30,0,0.0,0,0,0,0.0,0.0,0.0,False
17,18.666666666666668,18:40,0,0.0,0,0,0,0.0,0.0,0.0,False
17,18.833333333333332,18:49,0,0.0,0,0,0,0.0,0.0,0.0,False
18,6.0,06:00,0,0.0,0,0,0,0.0,0.0,0.0,False
18,6.166666666666667,06:10,1,0.4329004329004329,1,0,0,0.7142857142857143,0.0,0.0,False
18,6.333333333333333,06:19,1,0.4329004329004329,1,0,0,0.7142857142857143,0.0,0.0,False
18,6.5,06:30,1,0.4329004329004329,1,0,0,0.7142857142857143,0.0,0.0,False
18,6.666666666666667,06:40,3,1.2987012987012987,2,1,0,1.4285714285714286,1.2345679012345678,0.0,False
18,6.833333333333333,06:49,6,2.5974025974025974,5,1,0,3.571428571428571,1.2345679012345678,0.0,False
18,7.0,07:00,10,4.329004329004329,8,2,0,5.714285714285714,2.4691358024691357,0.0,False
18,7.166666666666667,07:10,40,17.316017316017316,32,8,0,22.857142857142858,9.876543209876543,0.0,False
18,7.333333333333333,07:19,78,33.76623376623377,64,12,2,45.714285714285715,14.814814814814813,20.0,False
18,7.5,07:30,88,38.095238095238095,73,12,3,52.142857142857146,14.814814814814813,30.0,False
18,7.666666666666667,07:40,118,51.082251082251084,96,17,5,68.57142857142857,20.98765432098765,50.0,False
18,7.833333333333333,07:49,134,58.00865800865801,107,20,7,76.42857142857142,24.691358024691358,70.0,False
18,8.0,08:00,159,68.83116883116884,121,29,9,86.42857142857143,35.80246913580247,90.0,False
18,8.166666666666666,08:09,172,74.45887445887446,130,32,10,92.85714285714286,39.50617283950617,100.0,True
18,8.333333333333334,08:20,187,80.95238095238095,140,37,10,100.0,45.67901234567901,100.0,True
18,8.5,08:30,191,82.68398268398268,140,41,10,100.0,50.617283950617285,100.0,True
18,8.666666666666666,08:39,194,83.98268398268398,140,44,10,100.0,54.32098765432099,100.0,True
18,8.833333333333334,08:50,201,87.01298701298701,140,51,10,100.0,62.96296296296296,100.0,True
18,9.0,09:00,206,89.17748917748918,140,56,10,100.0,69.1358024691358,100.0,True
18,9.166666666666666,09:09,207,89.6103896103896,140,57,10,100.0,70.37037037037037,100.0,True
18,9.333333333333334,09:20,208,90.04329004329004,140,58,10,100.0,71.60493827160494,100.0,True
18,9.5,09:30,208,90.04329004329004,140,58,10,100.0,71.60493827160494,100.0,True
18,9.666666666666666,09:39,208,90.04329004329004,140,58,10,100.0,71.60493827160494,100.0,True
18,9.833333333333334,09:50,208,90.04329004329004,140,58,10,100.0,71.60493827160494,100.0,True
18,10.0,10:00,208,90.04329004329004,140,58,10,100.0,71.60493827160494,100.0,True
18,10.166666666666666,10:09,210,90.9090909090909,140,60,10,100.0,74.07407407407408,100.0,True
18,10.333333333333334,10:20,210,90.9090909090909,140,60,10,100.0,74.07407407407408,100.0,True
18,10.5,10:30,210,90.9090909090909,140,60,10,100.0,74.07407407407408,100.0,True
18,10.666666666666666,10:39,211,91.34199134199135,140,61,10,100.0,75.30864197530865,100.0,True
18,10.833333333333334,10:50,212,91.77489177489177,140,62,10,100.0,76.5432098765432,100.0,True
18,11.0,11:00,213,92.20779220779221,140,63,10,100.0,77.77777777777779,100.0,True
18,11.166666666666666,11:09,213,92.20779220779221,140,63,10,100.0,77.77777777777779,100.0,True
18,11.333333333333334,11:20,213,92.20779220779221,140,63,10,100.0,77.77777777777779,100.0,True
18,11.5,11:30,213,92.20779220779221,140,63,10,100.0,77.77777777777779,100.0,True
18,11.666666666666666,11:39,213,92.20779220779221,140,63,10,100.0,77.77777777777779,100.0,True
18,11.833333333333334,11:50,213,92.20779220779221,140,63,10,100.0,77.77777777777779,100.0,True
18,12.0,12:00,213,92.20779220779221,140,63,10,100.0,77.77777777777779,100.0,True
18,12.166666666666666,12:09,218,94.37229437229438,140,68,10,100.0,83.9506172839506,100.0,True
18,12.333333333333334,12:20,223,96.53679653679653,140,73,10,100.0,90.12345679012346,100.0,True
18,12.5,12:30,226,97.83549783549783,140,76,10,100.0,93.82716049382715,100.0,True
18,12.666666666666666,12:39,230,99.56709956709958,140,80,10,100.0,98.76543209876543,100.0,True
18,12.833333333333334,12:50,231,100.0,140,81,10,100.0,100.0,100.0,True
18,13.0,13:00,231,100.0,140,81,10,100.0,100.0,100.0,True
18,13.166666666666666,13:09,231,100.0,140,81,10,100.0,100.0,100.0,True
18,13.333333333333334,13:20,231,100.0,140,81,10,100.0,100.0,100.0,True
18,13.5,13:30,231,100.0,140,81,10,100.0,100.0,100.0,True
18,13.666666666666666,13:39,231,100.0,140,81,10,100.0,100.0,100.0,True
18,13.833333333333334,13:50,231,100.0,140,81,10,100.0,100.0,100.0,True
18,14.0,14:00,231,100.0,140,81,10,100.0,100.0,100.0,True
18,14.166666666666666,14:09,231,100.0,140,81,10,100.0,100.0,100.0,True
18,14.333333333333334,14:20,231,100.0,140,81,10,100.0,100.0,100.0,True
18,14.5,14:30,231,100.0,140,81,10,100.0,100.0,100.0,True
18,14.666666666666666,14:39,231,100.0,140,81,10,100.0,100.0,100.0,True
18,14.833333333333334,14:50,231,100.0,140,81,10,100.0,100.0,100.0,True
18,15.0,15:00,231,100.0,140,81,10,100.0,100.0,100.0,True
18,15.166666666666666,15:09,214,92.64069264069265,128,78,8,91.42857142857143,96.29629629629629,80.0,False
18,15.333333333333334,15:20,207,89.6103896103896,124,75,8,88.57142857142857,92.5925925925926,80.0,False
18,15.5,15:30,200,86.58008658008657,120,72,8,85.71428571428571,88.88888888888889,80.0,False
18,15.666666666666666,15:39,194,83.98268398268398,118,69,7,84.28571428571429,85.18518518518519,70.0,False
18,15.833333333333334,15:50,190,82.25108225108225,115,68,7,82.14285714285714,83.9506172839506,70.0,False
18,16.0,16:00,181,78.35497835497836,113,61,7,80.71428571428572,75.30864197530865,70.0,False
18,16.166666666666668,16:10,161,69.6969696969697,101,53,7,72.14285714285714,65.4320987654321,70.0,False
18,16.333333333333332,16:19,154,66.66666666666666,99,49,6,70.71428571428572,60.49382716049383,60.0,False
18,16.5,16:30,143,61.904761904761905,89,48,6,63.57142857142857,59.25925925925925,60.0,False
18,16.666666666666668,16:40,133,57.57575757575758,82,47,4,58.57142857142858,58.0246913580247,40.0,False
18,16.833333333333332,16:49,123,53.246753246753244,75,44,4,53.57142857142857,54.32098765432099,40.0,False
18,17.0,17:00,107,46.320346320346324,62,41,4,44.285714285714285,50.617283950617285,40.0,False
18,17.166666666666668,17:10,88,38.095238095238095,47,37,4,33.57142857142857,45.67901234567901,40.0,False
18,17.333333333333332,17:19,80,34.63203463203463,42,34,4,30.0,41.9753086419753,40.0,False
18,17.5,17:30,69,29.87012987012987,35,31,3,25.0,38.2716049382716,30.0,False
18,17.666666666666668,17:40,59,25.541125541125542,33,24,2,23.57142857142857,29.629629629629626,20.0,False
18,17.833333333333332,17:49,48,20.77922077922078,28,18,2,20.0,22.22222222222222,20.0,False
18,18.0,18:00,34,14.71861471861472,18,16,0,12.857142857142856,19.753086419753085,0.0,False
18,18.166666666666668,18:10,22,9.523809523809524,13,9,0,9.285714285714286,11.11111111111111,0.0,False
18,18.333333333333332,18:19,10,4.329004329004329,6,4,0,4.285714285714286,4.938271604938271,0.0,False
18,18.5,18:30,0,0.0,0,0,0,0.0,0.0,0.0,False
18,18.666666666666668,18:40,0,0.0,0,0,0,0.0,0.0,0.0,False
18,18.833333333333332,18:49,0,0.0,0,0,0,0.0,0.0,0.0,False
19,6.0,06:00,1,0.4329004329004329,0,1,0,0.0,1.2345679012345678,0.0,False
19,6.166666666666667,06:10,3,1.2987012987012987,0,2,1,0.0,2.4691358024691357,10.0,False
19,6.333333333333333,06:19,5,2.1645021645021645,2,2,1,1.4285714285714286,2.4691358024691357,10.0,False
19,6.5,06:30,5,2.1645021645021645,2,2,1,1.4285714285714286,2.4691358024691357,10.0,False
19,6.666666666666667,06:40,7,3.0303030303030303,3,3,1,2.142857142857143,3.7037037037037033,10.0,False
19,6.833333333333333,06:49,7,3.0303030303030303,3,3,1,2.142857142857143,3.7037037037037033,10.0,False
19,7.0,07:00,14,6.0606060606060606,7,6,1,5.0,7.4074074074074066,10.0,False
19,7.166666666666667,07:10,45,19.480519480519483,29,11,5,20.714285714285715,13.580246913580247,50.0,False
19,7.333333333333333,07:19,77,33.33333333333333,51,19,7,36.42857142857142,23.456790123456788,70.0,False
19,7.5,07:30,107,46.320346320346324,73,26,8,52.142857142857146,32.098765432098766,80.0,False
19,7.666666666666667,07:40,123,53.246753246753244,85,30,8,60.71428571428571,37.03703703703704,80.0,False
19,7.833333333333333,07:49,152,65.80086580086581,108,35,9,77.14285714285715,43.20987654320987,90.0,False
19,8.0,08:00,173,74.89177489177489,123,41,9,87.85714285714286,50.617283950617285,90.0,False
19,8.166666666666666,08:09,199,86.14718614718615,140,49,10,100.0,60.49382716049383,100.0,True
19,8.333333333333334,08:20,204,88.31168831168831,140,54,10,100.0,66.66666666666666,100.0,True
19,8.5,08:30,204,88.31168831168831,140,54,10,100.0,66.66666666666666,100.0,True
19,8.666666666666666,08:39,209,90.47619047619048,140,59,10,100.0,72.8395061728395,100.0,True
19,8.833333333333334,08:50,212,91.77489177489177,140,62,10,100.0,76.5432098765432,100.0,True
19,9.0,09:00,214,92.64069264069265,140,64,10,100.0,79.01234567901234,100.0,True
19,9.166666666666666,09:09,215,93.07359307359307,140,65,10,100.0,80.24691358024691,100.0,True
19,9.333333333333334,09:20,215,93.07359307359307,140,65,10,100.0,80.24691358024691,100.0,True
19,9.5,09:30,216,93.5064935064935,140,66,10,100.0,81.48148148148148,100.0,True
19,9.666666666666666,09:39,216,93.5064935064935,140,66,10,100.0,81.48148148148148,100.0,True
19,9.833333333333334,09:50,217,93.93939393939394,140,67,10,100.0,82.71604938271605,100.0,True
19,10.0,10:00,217,93.93939393939394,140,67,10,100.0,82.71604938271605,100.0,True
19,10.166666666666666,10:09,217,93.93939393939394,140,67,10,100.0,82.71604938271605,100.0,True
19,10.333333333333334,10:20,217,93.93939393939394,140,67,10,100.0,82.71604938271605,100.0,True
19,10.5,10:30,218,94.37229437229438,140,68,10,100.0,83.9506172839506,100.0,True
19,10.666666666666666,10:39,219,94.8051948051948,140,69,10,100.0,85.18518518518519,100.0,True
19,10.833333333333334,10:50,219,94.8051948051948,140,69,10,100.0,85.18518518518519,100.0,True
19,11.0,11:00,219,94.8051948051948,140,69,10,100.0,85.18518518518519,100.0,True
19,11.166666666666666,11:09,219,94.8051948051948,140,69,10,100.0,85.18518518518519,100.0,True
