time_str,total_occupied_mean,total_occupied_std,total_occupied_min,total_occupied_max,utilization_percent_mean,utilization_percent_std,mc_occupied_mean,mc_occupied_std,car_occupied_mean,car_occupied_std,truck_occupied_mean,truck_occupied_std,is_full_mean
08:00,189.285,8.590318304263745,144,215,81.94155844155844,3.7187525126682806,139.331,2.674807206808295,42.16,7.189999728518505,7.794,2.1354447134318697,0.93
08:09,194.824,7.891723721931942,171,219,84.33939393939394,3.4163306155549504,139.963,0.5709264023996091,46.555,7.4653001082143895,8.306,1.958622015652893,0.997
08:20,199.816,8.120843065353007,172,226,86.5004329004329,3.515516478507796,140.0,0.0,51.046,7.80864001339919,8.77,1.7286087145702145,1.0
08:30,204.789,8.409113638915358,174,231,88.65324675324676,3.6403089345953874,140.0,0.0,55.674,8.166052192363734,9.115,1.5046724025644376,1.0
08:39,209.496,8.75949272005593,176,231,90.69090909090909,3.7919881905004007,140.0,0.0,60.124,8.561654391875786,9.372,1.2981915503119328,1.0
08:50,214.102,8.913531682057743,178,231,92.68484848484849,3.8586717238345196,140.0,0.0,64.527,8.782961426045976,9.575,1.087914775411456,1.0
09:00,218.134,8.692272407121145,182,231,94.43030303030302,3.7628884879312325,140.0,0.0,68.426,8.614100459521397,9.708,0.8930473299515168,1.0
09:09,218.867,8.584346335161579,183,231,94.74761904761905,3.716167244658693,140.0,0.0,69.139,8.511764160802926,9.728,0.860672270238072,1.0
09:20,219.614,8.522419588100293,183,231,95.07099567099567,3.6893591290477525,140.0,0.0,69.866,8.457042365127753,9.748,0.8241208498607315,1.0
09:30,220.305,8.375567152445557,184,231,95.37012987012987,3.6257866460803276,140.0,0.0,70.543,8.318735021164715,9.762,0.7949767216642185,1.0
09:39,220.965,8.255054265171182,184,231,95.65584415584415,3.5736165650091722,140.0,0.0,71.193,8.202257495837838,9.772,0.782705965627341,1.0
09:50,221.613,8.100051965379095,186,231,95.93636363636364,3.5065160023286146,140.0,0.0,71.826,8.053731221402073,9.787,0.745779583514585,1.0
10:00,222.222,7.924867161001467,186,231,96.2,3.4306784246759623,140.0,0.0,72.421,7.880346366680775,9.801,0.7140790634859061,1.0
10:09,222.607,7.792128609582127,188,231,96.36666666666667,3.3732158483039516,140.0,0.0,72.799,7.746780725669956,9.808,0.6954276523259771,1.0
10:20,222.982,7.681580741141937,188,231,96.52900432900432,3.3253596281999704,140.0,0.0,73.159,7.640032008381186,9.823,0.6679199930509018,1.0
10:30,223.363,7.5580655828958925,189,231,96.69393939393939,3.2718898627254918,140.0,0.0,73.533,7.517541115579249,9.83,0.653855892018668,1.0
